Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"GAPUA",,"Gaillardia pulchella Foug. var. australis Turner & M.A. Whalen",
"GAPUP2",,"Gaillardia pulchella Foug. var. pulchella ",
"WEAC",,"Wedelia acapulcensis Kunth",
"VEGU",,"Vernonia ×guadalupensis A. Heller (pro sp.) [baldwinii × lindheimeri]",
"VUMY",,"Vulpia myuros (L.) C.C. Gmel.",
"ATMU3",,"Atriplex muricata Humb. & Bonpl. ex Willd.",
"VIPR4",,"Viola ×primulifolia L. (pro sp.) [lanceolata × macloskeyi]",
"SICO",,"Sida cordifolia L.",‘ilima
"ERAB2",,"Eriogonum abertianum Torr.",Abert's buckwheat
"YUFI",,"Yucca filamentosa L.",Adam's needle
"MEMU3",,"Mentzelia multiflora (Nutt.) A. Gray",Adonis blazingstar
"MEMUM2",,"Mentzelia multiflora (Nutt.) A. Gray var. multiflora ",Adonis blazingstar
"CHAL5",,"Cheilanthes alabamensis (Buckley) Kunze",Alabama lipfern
"BESC",,"Berchemia scandens (Hill) K. Koch",Alabama supplejack
"CEMO2",,"Cercocarpus montanus Raf.",alderleaf mountain mahogany
"MESA",,"Medicago sativa L.",alfalfa
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"MATR3",,"Mahonia trifoliolata (Moric.) Fedde",algerita
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"FLCA",,"Flaveria campestris J.R. Johnst.",alkali yellowtops
"ECPA4",,"Echinocereus papillosus Linke ex Rümpler",Allicoche hedgehog cactus
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"RUCH3",,"Rumex chrysocarpus Moris",amamastla
"STHE9",,"Strophostyles helvola (L.) Elliott",amberique-bean
"TIAM",,"Tilia americana L.",American basswood
"CAAM2",,"Callicarpa americana L.",American beautyberry
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"SANIC4",,"Sambucus nigra L. ssp. canadensis (L.) R. Bolli",American black elderberry
"BUAM",,"Buchnera americana L.",American bluehearts
"BROV4",,"Brunnichia ovata (Walter) Shinners",American buckwheat vine
"COAM8",,"Corispermum americanum (Nutt.) Nutt.",American bugseed
"COAMA2",,"Corispermum americanum (Nutt.) Nutt. var. americanum ",American bugseed
"COAMR",,"Corispermum americanum (Nutt.) Nutt. var. rydbergii Mosyakin",American bugseed
"ERHI12",,"Erechtites hieraciifolius (L.) Raf. ex DC.",American burnweed
"ERHIH2",,"Erechtites hieraciifolius (L.) Raf. ex DC. var. hieraciifolius ",American burnweed
"SPAM",,"Sparganium americanum Nutt.",American bur-reed
"SAST",,"Sacciolepis striata (L.) Nash",American cupscale
"ULAM",,"Ulmus americana L.",American elm
"AMBR2",,"Amphicarpaea bracteata (L.) Fernald",American hogpeanut
"ILOP",,"Ilex opaca Aiton",American holly
"ILOPO",,"Ilex opaca Aiton var. opaca ",American holly
"CACA18",,"Carpinus caroliniana Walter",American hornbeam
"GIST5",,"Gillenia stipulata (Muhl. ex Willd.) Baill.",American ipecac
"GLLE3",,"Glycyrrhiza lepidota Pursh",American licorice
"PHLE5",,"Phryma leptostachya L.",American lopseed
"NELU",,"Nelumbo lutea Willd.",American lotus
"PIME4",,"Pistacia mexicana Kunth",American pistachio
"PHAM4",,"Phytolacca americana L.",American pokeweed
"COOB2",,"Cotinus obovatus Raf.",American smoketree
"RHAM",,"Rhynchosia americana (Houst. ex Mill.) M.C. Metz",American snoutbean
"STAM4",,"Styrax americanus Lam.",American snowbell
"CEAM2",,"Centaurea americana Nutt.",American star-thistle
"PLOC",,"Platanus occidentalis L.",American sycamore
"FLCE",,"Flourensia cernua DC.",American tarwort
"VIAM",,"Vicia americana Muhl. ex Willd.",American vetch
"VIAMA3",,"Vicia americana Muhl. ex Willd. ssp. americana ",American vetch
"LYAM",,"Lycopus americanus Muhl. ex W.P.C. Barton",American water horehound
"JUAM",,"Justicia americana (L.) Vahl",American water-willow
"NYODO",,"Nymphaea odorata Aiton ssp. odorata ",American white waterlily
"NYOD",,"Nymphaea odorata Aiton",American white waterlily
"DAPU3",,"Daucus pusillus Michx.",American wild carrot
"WIFR",,"Wisteria frutescens (L.) Poir.",American wisteria
"COBO2",,"Cordia boissieri A. DC.",anacahuita
"ACLO2",,"Acleisanthes longiflora A. Gray",angel's trumpets
"RHCA9",,"Rhynchospora caduca Elliott",anglestem beaksedge
"LULE4",,"Ludwigia leptocarpa (Nutt.) H. Hara",anglestem primrose-willow
"DIAR5",,"Dichanthium aristatum (Poir.) C.E. Hubbard",Angleton bluestem
"MAGO",,"Matelea gonocarpos (Walter) Shinners",angularfruit milkvine
"INSU",,"Indigofera suffruticosa Mill.",anil de pasto
"SOOD",,"Solidago odora Aiton",anisescented goldenrod
"SOODO",,"Solidago odora Aiton var. odora ",anisescented goldenrod
"RARU",,"Rapistrum rugosum (L.) All.",annual bastardcabbage
"SIRO5",,"Sisyrinchium rosulatum E.P. Bicknell",annual blue-eyed grass
"POAN",,"Poa annua L.",annual bluegrass
"ERAN4",,"Eriogonum annuum Nutt.",annual buckwheat
