Search type: State
Accepted Symbol,Synonym,Scientific Name,Common Name
"EQFE",,"Equisetum ×ferrissii Clute (pro sp.) [hyemale × laevigatum]",
"GAPUP2",,"Gaillardia pulchella Foug. var. pulchella ",
"WEAC",,"Wedelia acapulcensis Kunth",
"VIPR4",,"Viola ×primulifolia L. (pro sp.) [lanceolata × macloskeyi]",
"ESTUV",,"Escobaria tuberculosa (Engelm.) Britton & Rose var. varicolor (Tiegel) Brack & K.D. Heil",
"DAWRW",,"Dalea wrightii A. Gray var. wrightii ",
"ERAB2",,"Eriogonum abertianum Torr.",Abert's buckwheat
"SAAB",,"Sanvitalia abertii A. Gray",Abert's creeping zinnia
"MEMU3",,"Mentzelia multiflora (Nutt.) A. Gray",Adonis blazingstar
"MEMUM2",,"Mentzelia multiflora (Nutt.) A. Gray var. multiflora ",Adonis blazingstar
"LISQA",,"Liatris squarrosa (L.) Michx. var. alabamensis (Alexander) Gaiser",Alabama blazing star
"CHAL5",,"Cheilanthes alabamensis (Buckley) Kunze",Alabama lipfern
"BESC",,"Berchemia scandens (Hill) K. Koch",Alabama supplejack
"CEMO2",,"Cercocarpus montanus Raf.",alderleaf mountain mahogany
"MESA",,"Medicago sativa L.",alfalfa
"MESAS",,"Medicago sativa L. ssp. sativa ",alfalfa
"MATR3",,"Mahonia trifoliolata (Moric.) Fedde",algerita
"RACY",,"Ranunculus cymbalaria Pursh",alkali buttercup
"MALE3",,"Malvella leprosa (Ortega) Krapov.",alkali mallow
"SPAI",,"Sporobolus airoides (Torr.) Torr.",alkali sacaton
"CHAS2",,"Chamaesyce astyla (Engelm. ex Boiss.) Millsp.",alkali sandmat
"FLCA",,"Flaveria campestris J.R. Johnst.",alkali yellowtops
"JUDE2",,"Juniperus deppeana Steud.",alligator juniper
"ALPH",,"Alternanthera philoxeroides (Mart.) Griseb.",alligatorweed
"COAL6",,"Conopholis alpina Liebm.",alpine cancer-root
"RUCH3",,"Rumex chrysocarpus Moris",amamastla
"STHE9",,"Strophostyles helvola (L.) Elliott",amberique-bean
"TIAM",,"Tilia americana L.",American basswood
"CAAM2",,"Callicarpa americana L.",American beautyberry
"FAGR",,"Fagus grandifolia Ehrh.",American beech
"LOUN",,"Lotus unifoliolatus (Hook.) Benth.",American bird's-foot trefoil
"LOUNU",,"Lotus unifoliolatus (Hook.) Benth. var. unifoliolatus ",American bird's-foot trefoil
"SANIC4",,"Sambucus nigra L. ssp. canadensis (L.) R. Bolli",American black elderberry
"SOAM",,"Solanum americanum Mill.",American black nightshade
